species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,body_mass_g_capped,flipper_bill_ratio
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,5200.0,4.448818897637795
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,4925.0,4.372469635627531
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,4875.0,4.733475479744136
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,4625.0,4.194214876033058
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,5250.0,4.403131115459883
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,4850.0,4.515463917525773
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,5600.0,4.07871198568873
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,4975.0,4.555084745762712
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,5500.0,4.643584521384929
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,Male,4725.0,4.5665961945031714
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,5500.0,4.594017094017095
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,4700.0,5.0359712230215825
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,5500.0,4.1011235955056184
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,4575.0,4.803695150115474
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,5500.0,4.345114345114345
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,5000.0,4.2772277227722775
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,5950.0,4.598393574297189
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,4650.0,4.896551724137931
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,5500.0,4.466019417475728
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,4375.0,4.696969696969696
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,5850.0,4.174228675136116
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,Male,4875.0,4.876404494382022
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,6000.0,4.549180327868853
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,4925.0,4.533898305084746
Gentoo,Biscoe,43.9219298245614,17.151169590643278,200.91520467836258,4201.754385964912,Male,4201.754385964912,4.5743710597618055
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,4850.0,4.594017094017095
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,5750.0,4.404761904761905
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,5200.0,4.6902654867256635
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,5400.0,4.268537074148297
