mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,horsepower_capped,fuel_economy_type
18.1,6,258.0,120.0,3410,15.1,78,usa,amc concord d/l,120.0,Low Economy (<20 MPG)
19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau,145.0,Low Economy (<20 MPG)
17.7,6,231.0,165.0,3445,13.4,78,usa,buick regal sport coupe (turbo),165.0,Low Economy (<20 MPG)
18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura,139.0,Low Economy (<20 MPG)
17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe,140.0,Low Economy (<20 MPG)
30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet chevette,68.0,High Economy (>30 MPG)
27.5,4,134.0,95.0,2560,14.2,78,japan,toyota corona,95.0,Mid Economy (20-30 MPG)
27.2,4,119.0,97.0,2300,14.7,78,japan,datsun 510,97.0,Mid Economy (20-30 MPG)
30.9,4,105.0,75.0,2230,14.5,78,usa,dodge omni,75.0,High Economy (>30 MPG)
21.1,4,134.0,95.0,2515,14.8,78,japan,toyota celica gt liftback,95.0,Mid Economy (20-30 MPG)
23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth sapporo,105.0,Mid Economy (20-30 MPG)
23.8,4,151.0,85.0,2855,17.6,78,usa,oldsmobile starfire sx,85.0,Mid Economy (20-30 MPG)
23.9,4,119.0,97.0,2405,14.9,78,japan,datsun 200-sx,97.0,Mid Economy (20-30 MPG)
20.3,5,131.0,103.0,2830,15.9,78,europe,audi 5000,103.0,Mid Economy (20-30 MPG)
17.0,6,163.0,125.0,3140,13.6,78,europe,volvo 264gl,125.0,Low Economy (<20 MPG)
21.6,4,121.0,115.0,2795,15.7,78,europe,saab 99gle,115.0,Mid Economy (20-30 MPG)
16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl,133.0,Low Economy (<20 MPG)
31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen scirocco,71.0,High Economy (>30 MPG)
29.5,4,98.0,68.0,2135,16.6,78,japan,honda accord lx,68.0,Mid Economy (20-30 MPG)
21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6,115.0,Mid Economy (20-30 MPG)
19.8,6,200.0,85.0,2990,18.2,79,usa,mercury zephyr 6,85.0,Low Economy (<20 MPG)
22.3,4,140.0,88.0,2890,17.3,79,usa,ford fairmont 4,88.0,Mid Economy (20-30 MPG)
20.2,6,232.0,90.0,3265,18.2,79,usa,amc concord dl 6,90.0,Mid Economy (20-30 MPG)
20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6,110.0,Mid Economy (20-30 MPG)
17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic,130.0,Low Economy (<20 MPG)
17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau,129.0,Low Economy (<20 MPG)
16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis,138.0,Low Economy (<20 MPG)
18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis,135.0,Low Economy (<20 MPG)
16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw),155.0,Low Economy (<20 MPG)
15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw),142.0,Low Economy (<20 MPG)
19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw),125.0,Low Economy (<20 MPG)
18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw),150.0,Low Economy (<20 MPG)
31.9,4,89.0,71.0,1925,14.0,79,europe,vw rabbit custom,71.0,High Economy (>30 MPG)
34.1,4,86.0,65.0,1975,15.2,79,japan,maxda glc deluxe,65.0,High Economy (>30 MPG)
35.7,4,98.0,80.0,1915,14.4,79,usa,dodge colt hatchback custom,80.0,High Economy (>30 MPG)
27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl,80.0,Mid Economy (20-30 MPG)
25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes benz 300d,77.0,Mid Economy (20-30 MPG)
23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado,125.0,Mid Economy (20-30 MPG)
27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot 504,71.0,Mid Economy (20-30 MPG)
23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,90.0,Mid Economy (20-30 MPG)
34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth horizon,70.0,High Economy (>30 MPG)
34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth horizon tc3,70.0,High Economy (>30 MPG)
31.8,4,85.0,65.0,2020,19.2,79,japan,datsun 210,65.0,High Economy (>30 MPG)
37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom,69.0,High Economy (>30 MPG)
28.4,4,151.0,90.0,2670,16.0,79,usa,buick skylark limited,90.0,Mid Economy (20-30 MPG)
28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet citation,115.0,Mid Economy (20-30 MPG)
26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile omega brougham,115.0,Mid Economy (20-30 MPG)
33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac phoenix,90.0,High Economy (>30 MPG)
41.5,4,98.0,76.0,2144,14.7,80,europe,vw rabbit,76.0,High Economy (>30 MPG)
38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel,60.0,High Economy (>30 MPG)
32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet chevette,70.0,High Economy (>30 MPG)
37.2,4,86.0,65.0,2019,16.4,80,japan,datsun 310,65.0,High Economy (>30 MPG)
28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet citation,90.0,Mid Economy (20-30 MPG)
26.4,4,140.0,88.0,2870,18.1,80,usa,ford fairmont,88.0,Mid Economy (20-30 MPG)
24.3,4,151.0,90.0,3003,20.1,80,usa,amc concord,90.0,Mid Economy (20-30 MPG)
19.1,6,225.0,90.0,3381,18.7,80,usa,dodge aspen,90.0,Low Economy (<20 MPG)
34.3,4,97.0,78.0,2188,15.8,80,europe,audi 4000,78.0,High Economy (>30 MPG)
29.8,4,134.0,90.0,2711,15.5,80,japan,toyota corona liftback,90.0,Mid Economy (20-30 MPG)
31.3,4,120.0,75.0,2542,17.5,80,japan,mazda 626,75.0,High Economy (>30 MPG)
37.0,4,119.0,92.0,2434,15.0,80,japan,datsun 510 hatchback,92.0,High Economy (>30 MPG)
32.2,4,108.0,75.0,2265,15.2,80,japan,toyota corolla,75.0,High Economy (>30 MPG)
46.6,4,86.0,65.0,2110,17.9,80,japan,mazda glc,65.0,High Economy (>30 MPG)
27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt,105.0,Mid Economy (20-30 MPG)
40.8,4,85.0,65.0,2110,19.2,80,japan,datsun 210,65.0,High Economy (>30 MPG)
44.3,4,90.0,48.0,2085,21.7,80,europe,vw rabbit c (diesel),48.0,High Economy (>30 MPG)
43.4,4,90.0,48.0,2335,23.7,80,europe,vw dasher (diesel),48.0,High Economy (>30 MPG)
36.4,5,121.0,67.0,2950,19.9,80,europe,audi 5000s (diesel),67.0,High Economy (>30 MPG)
30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes-benz 240d,67.0,High Economy (>30 MPG)
44.6,4,91.0,67.0,1850,13.8,80,japan,honda civic 1500 gl,67.0,High Economy (>30 MPG)
40.9,4,85.0,104.46938775510205,1835,17.3,80,europe,renault lecar deluxe,104.46938775510205,High Economy (>30 MPG)
33.8,4,97.0,67.0,2145,18.0,80,japan,subaru dl,67.0,High Economy (>30 MPG)
29.8,4,89.0,62.0,1845,15.3,80,europe,vokswagen rabbit,62.0,Mid Economy (20-30 MPG)
32.7,6,168.0,132.0,2910,11.4,80,japan,datsun 280-zx,132.0,High Economy (>30 MPG)
23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs,100.0,Mid Economy (20-30 MPG)
35.0,4,122.0,88.0,2500,15.1,80,europe,triumph tr7 coupe,88.0,High Economy (>30 MPG)
23.6,4,140.0,104.46938775510205,2905,14.3,80,usa,ford mustang cobra,104.46938775510205,Mid Economy (20-30 MPG)
32.4,4,107.0,72.0,2290,17.0,80,japan,honda accord,72.0,High Economy (>30 MPG)
27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth reliant,84.0,Mid Economy (20-30 MPG)
26.6,4,151.0,84.0,2635,16.4,81,usa,buick skylark,84.0,Mid Economy (20-30 MPG)
25.8,4,156.0,92.0,2620,14.4,81,usa,dodge aries wagon (sw),92.0,Mid Economy (20-30 MPG)
23.5,6,173.0,110.0,2725,12.6,81,usa,chevrolet citation,110.0,Mid Economy (20-30 MPG)
30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth reliant,84.0,High Economy (>30 MPG)
39.1,4,79.0,58.0,1755,16.9,81,japan,toyota starlet,58.0,High Economy (>30 MPG)
39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth champ,64.0,High Economy (>30 MPG)
35.1,4,81.0,60.0,1760,16.1,81,japan,honda civic 1300,60.0,High Economy (>30 MPG)
32.3,4,97.0,67.0,2065,17.8,81,japan,subaru,67.0,High Economy (>30 MPG)
37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg,65.0,High Economy (>30 MPG)
37.7,4,89.0,62.0,2050,17.3,81,japan,toyota tercel,62.0,High Economy (>30 MPG)
34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4,68.0,High Economy (>30 MPG)
34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth horizon 4,63.0,High Economy (>30 MPG)
34.4,4,98.0,65.0,2045,16.2,81,usa,ford escort 4w,65.0,High Economy (>30 MPG)
29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h,65.0,Mid Economy (20-30 MPG)
33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta,74.0,High Economy (>30 MPG)
34.5,4,100.0,104.46938775510205,2320,15.8,81,europe,renault 18i,104.46938775510205,High Economy (>30 MPG)
33.7,4,107.0,75.0,2210,14.4,81,japan,honda prelude,75.0,High Economy (>30 MPG)
32.4,4,108.0,75.0,2350,16.8,81,japan,toyota corolla,75.0,High Economy (>30 MPG)
32.9,4,119.0,100.0,2615,14.8,81,japan,datsun 200sx,100.0,High Economy (>30 MPG)
31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626,74.0,High Economy (>30 MPG)
28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot 505s turbo diesel,80.0,Mid Economy (20-30 MPG)
30.7,6,145.0,76.0,3160,19.6,81,europe,volvo diesel,76.0,High Economy (>30 MPG)
25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida,116.0,Mid Economy (20-30 MPG)
24.2,6,146.0,120.0,2930,13.8,81,japan,datsun 810 maxima,120.0,Mid Economy (20-30 MPG)
22.4,6,231.0,110.0,3415,15.8,81,usa,buick century,110.0,Mid Economy (20-30 MPG)
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,105.0,Mid Economy (20-30 MPG)
20.2,6,200.0,88.0,3060,17.1,81,usa,ford granada gl,88.0,Mid Economy (20-30 MPG)
17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler lebaron salon,85.0,Low Economy (<20 MPG)
28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet cavalier,88.0,Mid Economy (20-30 MPG)
27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet cavalier wagon,88.0,Mid Economy (20-30 MPG)
34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet cavalier 2-door,88.0,High Economy (>30 MPG)
31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac j2000 se hatchback,85.0,High Economy (>30 MPG)
29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se,84.0,Mid Economy (20-30 MPG)
27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac phoenix,90.0,Mid Economy (20-30 MPG)
24.0,4,140.0,92.0,2865,16.4,82,usa,ford fairmont futura,92.0,Mid Economy (20-30 MPG)
23.0,4,151.0,104.46938775510205,3035,20.5,82,usa,amc concord dl,104.46938775510205,Mid Economy (20-30 MPG)
36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen rabbit l,74.0,High Economy (>30 MPG)
37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l,68.0,High Economy (>30 MPG)
31.0,4,91.0,68.0,1970,17.6,82,japan,mazda glc custom,68.0,High Economy (>30 MPG)
38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser,63.0,High Economy (>30 MPG)
36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l,70.0,High Economy (>30 MPG)
36.0,4,120.0,88.0,2160,14.5,82,japan,nissan stanza xe,88.0,High Economy (>30 MPG)
36.0,4,107.0,75.0,2205,14.5,82,japan,honda accord,75.0,High Economy (>30 MPG)
34.0,4,108.0,70.0,2245,16.9,82,japan,toyota corolla,70.0,High Economy (>30 MPG)
38.0,4,91.0,67.0,1965,15.0,82,japan,honda civic,67.0,High Economy (>30 MPG)
32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto),67.0,High Economy (>30 MPG)
38.0,4,91.0,67.0,1995,16.2,82,japan,datsun 310 gx,67.0,High Economy (>30 MPG)
25.0,6,181.0,110.0,2945,16.4,82,usa,buick century limited,110.0,Mid Economy (20-30 MPG)
38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile cutlass ciera (diesel),85.0,High Economy (>30 MPG)
26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler lebaron medallion,92.0,Mid Economy (20-30 MPG)
22.0,6,232.0,112.0,2835,14.7,82,usa,ford granada l,112.0,Mid Economy (20-30 MPG)
32.0,4,144.0,96.0,2665,13.9,82,japan,toyota celica gt,96.0,High Economy (>30 MPG)
36.0,4,135.0,84.0,2370,13.0,82,usa,dodge charger 2.2,84.0,High Economy (>30 MPG)
27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro,90.0,Mid Economy (20-30 MPG)
27.0,4,140.0,86.0,2790,15.6,82,usa,ford mustang gl,86.0,Mid Economy (20-30 MPG)
44.0,4,97.0,52.0,2130,24.6,82,europe,vw pickup,52.0,High Economy (>30 MPG)
32.0,4,135.0,84.0,2295,11.6,82,usa,dodge rampage,84.0,High Economy (>30 MPG)
28.0,4,120.0,79.0,2625,18.6,82,usa,ford ranger,79.0,Mid Economy (20-30 MPG)
31.0,4,119.0,82.0,2720,19.4,82,usa,chevy s-10,82.0,High Economy (>30 MPG)
